product_id,nama_produk,kategori_lama,kategori_baru,aksi,target_gabung,perlu_review,catatan
PRD-050,101 Menu,digital,Edukasi,set_kategori,,,
PRD-012,Amandia,hp_amandia,Makanan,set_kategori,,ya,
PRD-001,Amandia 10,hp_amandia,Makanan,set_kategori,,ya,
PRD-016,Amandia 5,hp_amandia,Makanan,set_kategori,,ya,
PRD-047,Amandia 7,hp_amandia,Makanan,set_kategori,,ya,
PRD-029,Amandia Diet,hp_amandia,Makanan,set_kategori,,ya,
PRD-033,Amandia Meal Plan,digital,Edukasi,set_kategori,,,
PRD-046,Amandia Meal Plan PB,digital,Edukasi,set_kategori,,,
PRD-059,Amandia Muesli,hp_amandia,Makanan,set_kategori,,ya,
PRD-069,Amandia Museli,hp_amandia,Makanan,set_kategori,,ya,
PRD-022,Amandia10,hp_amandia,Makanan,set_kategori,,ya,
PRD-031,Audiobook 90,digital,Edukasi,set_kategori,,,
PRD-007,Beras,fisik_lain,Makanan,set_kategori,,ya,
PRD-068,Beras Merah,fisik_lain,Makanan,set_kategori,,ya,
PRD-014,Beras Organik,fisik_lain,Makanan,set_kategori,,ya,
PRD-008,BIO INSULEAF,fisik_lain,Herbal,set_kategori,,ya,
PRD-037,Buku Remisi,digital,Edukasi,set_kategori,,,
PRD-030,Ebook 101,digital,Edukasi,set_kategori,,,
PRD-042,Ebook 101 PB,digital,Edukasi,set_kategori,,,
PRD-048,Ebook 145,digital,Edukasi,set_kategori,,,
PRD-024,Ebook 21,digital,Edukasi,set_kategori,,,
PRD-044,Ebook 21 PB,digital,Edukasi,set_kategori,,,
PRD-021,Ebook 30,digital,Edukasi,set_kategori,,,
PRD-036,Ebook 31,digital,Edukasi,set_kategori,,,
PRD-026,Ebook 5,digital,Edukasi,set_kategori,,,
PRD-071,Ebook 69,digital,Edukasi,set_kategori,,,
PRD-018,Ebook 90,digital,Edukasi,set_kategori,,,
PRD-039,Ebook 90 PB,digital,Edukasi,set_kategori,,,
PRD-023,Ebook 90v2,digital,Edukasi,set_kategori,,,
PRD-028,Ebook Fat Loss,digital,Edukasi,set_kategori,,,
PRD-062,Ebook Fatloss,digital,Edukasi,set_kategori,,,
PRD-070,Ebook Haji,digital,Edukasi,set_kategori,,,
PRD-073,Ebook Hiperteni,digital,Edukasi,set_kategori,,,
PRD-027,Ebook Hipertensi,digital,Edukasi,set_kategori,,,
PRD-040,Ebook Hipertensi PB,digital,Edukasi,set_kategori,,,
PRD-038,Ebook Hipertrnsi,digital,Edukasi,set_kategori,,,
PRD-055,"Ebook Meal Plan, 101 menu",digital,Edukasi,set_kategori,,,
PRD-058,Ebook Ramadhan,digital,Edukasi,set_kategori,,,
PRD-075,Ebook Webinar,digital,Edukasi,set_kategori,,,
PRD-010,Eka Farm,,,set_kategori,,ya,kategori belum jelas - owner tentukan
PRD-011,ETAWAKU,,Makanan,set_kategori,,ya,
PRD-009,ETAWALIN,,Makanan,set_kategori,,ya,
PRD-079,GM,,,hapus,,,"no.22 owner: delete (arsip, bukan hapus fisik)"
PRD-090,GMB,,,hapus,,,"no.22 owner: delete (arsip, bukan hapus fisik)"
PRD-019,GOMILK 200,,Makanan,set_kategori,,ya,
PRD-017,Gula Stevia,fisik_lain,Makanan,set_kategori,,ya,
PRD-091,HP,hp_amandia,Herbal,set_kategori,,,
PRD-088,HP COD,hp_amandia,Herbal,gabung,PRD-049,,HP COD = Herbal Probetes payment COD -> gabung + tag COD/TF (no.23)
PRD-034,Kelas Meal Plan,digital,Edukasi,set_kategori,,,
PRD-045,Kelas Meal Plan PB,digital,Edukasi,set_kategori,,,
PRD-041,Konsul Meal Plan,digital,Jasa,set_kategori,,ya,
PRD-072,Konsul Pak Rahman,digital,Jasa,set_kategori,,ya,
PRD-006,MINYAK,fisik_lain,Minyak Balur,set_kategori,,,
PRD-066,Minyak CCO,fisik_lain,Minyak Balur,set_kategori,,,
PRD-015,Minyak Kelapa,fisik_lain,Minyak Balur,set_kategori,,,
PRD-083,Minyak Kelapa CCO,fisik_lain,Minyak Balur,set_kategori,,,
PRD-080,Minyak Kelapa VCO,fisik_lain,Minyak Balur,set_kategori,,,
PRD-060,Minyak VCO,fisik_lain,Minyak Balur,set_kategori,,,
PRD-078,NEU20,,,hapus,,,"no.22 owner: delete (arsip, bukan hapus fisik)"
PRD-002,NUTRIFLAKES,fisik_lain,Makanan,set_kategori,,ya,
PRD-092,Paket Apresiasi Remisi,,Edukasi,set_kategori,,,
PRD-056,PBH 70,hp_amandia,Herbal,set_kategori,,,
PRD-087,Pro Herbal,hp_amandia,Herbal,keluar_sales,,,"Pro Herbal Dummy = kiriman ke affiliator, bukan sales (no.24)"
PRD-077,Pro Herbal 24,hp_amandia,Herbal,set_kategori,,,
PRD-065,Probetes Herbal,hp_amandia,Herbal,set_kategori,,,
PRD-051,Probetes Herbal 20,hp_amandia,Herbal,set_kategori,,,
PRD-049,Probetes Herbal 24,hp_amandia,Herbal,set_kategori,,,
PRD-064,Probetes Oil,fisik_lain,Minyak Balur,set_kategori,,,
PRD-025,Probiogel,fisik_lain,Herbal,set_kategori,,ya,
PRD-082,Rekaman Webinar,digital,Edukasi,set_kategori,,,
PRD-035,"Remisi 90, Puasa 30, Fattloss, Meal plan",digital,Edukasi,set_kategori,,,
PRD-057,S Amandia 5,hp_amandia,Makanan,set_kategori,,ya,
PRD-053,S Amandia 7,hp_amandia,Makanan,set_kategori,,ya,
PRD-063,S Amandia Muesli,hp_amandia,Makanan,set_kategori,,ya,
PRD-094,S Buku Remisi,digital,Edukasi,set_kategori,,,
PRD-067,S Minyak VCO,fisik_lain,Minyak Balur,set_kategori,,,
PRD-076,S Probetes Herbal 24,hp_amandia,Herbal,set_kategori,,,
PRD-085,S Probetes Oil,fisik_lain,Minyak Balur,set_kategori,,,
PRD-013,Stevia,fisik_lain,Makanan,set_kategori,,ya,
PRD-081,Tas Probetes,,Device,set_kategori,,ya,
PRD-032,Teacona,fisik_lain,Makanan,set_kategori,,ya,
PRD-043,Teacona 20,fisik_lain,Makanan,set_kategori,,ya,
PRD-054,Tk Amandia 10,hp_amandia,Makanan,set_kategori,,ya,
PRD-052,Tk Amandia 7,hp_amandia,Makanan,set_kategori,,ya,
PRD-093,Tk Amandia Muesli,hp_amandia,Makanan,set_kategori,,ya,
PRD-074,Tk Buku Remisi,digital,Edukasi,set_kategori,,,
PRD-086,Tk Probetes Herbal 24,hp_amandia,Herbal,set_kategori,,,
PRD-089,Tk Probetes Oil,fisik_lain,Minyak Balur,set_kategori,,,
PRD-084,Topping,fisik_lain,Makanan,set_kategori,,ya,
PRD-061,VCO,fisik_lain,Minyak Balur,set_kategori,,,
PRD-020,Webinar,digital,Edukasi,set_kategori,,,
PRD-004,Yacona,fisik_lain,Herbal,set_kategori,,ya,
PRD-003,Yacona 60,fisik_lain,Herbal,set_kategori,,ya,
PRD-005,ZYMUNO,fisik_lain,Herbal,set_kategori,,ya,
